slug,title,cat,price,mrp,badge,icon,blurb,desc,includes,format,pages,language,driveFileId,image,active
alphabet-learning-activity-book,Alphabet Learning Activity Book,cartoon-activity,249,,New,🔤,"A–Z tracing, colouring and matching activities for early learners.","A friendly first-alphabet workbook with tracing letters, matching pictures to sounds, and colouring pages for each letter from A to Z.",26 letter activity pages|Tracing + matching + colouring|Ages 3–6,PDF (printable),30,English,,,true
fun-maze-logic-puzzle-book,Fun Maze & Logic Puzzle Book,cartoon-activity,199,,,🧩,30 mazes and logic puzzles for growing problem-solvers.,"A collection of mazes and simple logic puzzles that get progressively trickier, great for quiet-time activity that still feels like play.",30 puzzle pages|Easy-to-hard progression|Ages 6–10,PDF (printable),30,English,,,true
the-little-explorer-story-book,Cartoon Story Book: The Little Explorer,cartoon-activity,279,,,🧭,An illustrated bedtime story about a curious young explorer.,"A gentle, illustrated cartoon story following a young explorer's first adventure into the woods — written for read-aloud bedtime moments.",24-page illustrated story|Read-aloud friendly text|Ages 4–8,PDF (digital + printable),24,English,,,true
30-day-habit-tracker,30-Day Habit Tracker,lifebyte,149,,Bestseller,✅,"Track up to 6 habits a day for 30 days, with a weekly check-in.","A simple, printable 30-day tracker for building habits that stick, with a weekly reflection page to notice patterns and adjust.",30-day tracker grid|Weekly reflection page|Habit checklist|Progress page,PDF (printable),,English,,,true
daily-life-planner,Daily Life Planner,lifebyte,249,,Bestseller,🗓️,"An undated daily planner for tasks, priorities and reflection.","An undated daily planner layout with space for top priorities, a schedule block, and a short end-of-day reflection — start any day of the year.",Undated daily pages|Priority + schedule blocks|End-of-day reflection,PDF (printable),,English,,,true
study-planner-undated,Study Planner (Undated),lifebyte,199,,New,📝,"Plan subjects, revision blocks and exam countdowns in one place.","An undated study planner built for students — subject-wise revision tracking, weekly study blocks, and an exam countdown page.",Weekly study planner|Subject tracker|Exam countdown page,PDF (printable),,English,,,true
goal-setting-workbook,Goal Setting Workbook,lifebyte,299,,,🎯,A guided workbook for setting and breaking down meaningful goals.,"A step-by-step workbook that turns a big goal into a clear, quarterly action plan, with milestone tracking and monthly check-ins.",Goal-breakdown worksheets|Quarterly milestone tracker|Monthly check-in pages,PDF (printable),,English,,,true
self-reflection-journal,Self-Reflection Journal,lifebyte,249,,,🪞,Guided prompts for a few minutes of honest reflection each day.,"A guided journal with a short daily prompt, mood check-in and gratitude line — designed to take five minutes and build a steady reflection habit.",60 guided journal pages|Daily mood check-in|Gratitude prompts,PDF (printable),,English,,,true
weekly-routine-planner,Weekly Routine Planner,lifebyte,179,,,📆,"Map out mornings, work blocks and evenings for a steadier week.","A weekly routine template that blocks out mornings, work time and evenings, so your week has a rhythm instead of a scramble.",Weekly routine grid|Morning + evening checklists|Time-block key,PDF (printable),,English,,,true
anniversary-card-set,Anniversary Card Set,celebrationbits,199,,,💞,10 printable anniversary card designs for every kind of couple.,"A set of 10 printable anniversary cards, from playful to romantic, ready to print at home or send as a digital card.",10 card designs|Print + digital-share versions|Editable message field,PDF (printable),,English,,,true
wedding-card-collection,Wedding Card Collection,celebrationbits,349,,Bestseller,💐,12 elegant wedding card designs for guests and couples alike.,"An elegant printable wedding card collection covering congratulations, guest wishes and thank-you notes, in a coordinated design style.",12 card designs|Matching envelope card|Editable text,PDF (printable),,English,,,true
thank-you-card-pack,Thank-You Card Pack,celebrationbits,149,,,🙏,"15 printable thank-you cards for gifts, gestures and get-togethers.","A versatile pack of 15 thank-you card designs suitable for weddings, birthdays, baby showers and everyday gratitude.",15 card designs|Print-ready PDF|Editable message field,PDF (printable),,English,,,true
festival-greeting-cards-diwali-holi,Festival Greeting Cards (Diwali & Holi),celebrationbits,229,,New,🪔,Printable and shareable greeting cards for Diwali and Holi.,"A festive set of Diwali and Holi greeting cards, ready to print for family or share digitally with friends and colleagues.",12 festival card designs|Diwali + Holi sets|Print + digital-share versions,PDF (printable + digital),,English,,,true
printable-birthday-card-collection,Printable Birthday Card Collection,celebrationbits,199,,,🎈,"18 printable birthday cards for kids, friends and family.","An 18-design birthday card collection covering playful, elegant and funny styles — print at home in minutes.",18 card designs|Print-ready PDF|Editable message field,PDF (printable),,English,,,true
baby-shower-invitation-set,Baby Shower Invitation Set,celebrationbits,279,,,👶,"8 charming baby shower invitation designs, gender-neutral and themed.","A set of 8 baby shower invitations, including gender-neutral and themed options, ready to personalise with your event details.",8 invitation designs|Gender-neutral + themed options|Editable event details,PDF (printable) + Canva link,,English,,,true
